t_w	t_s	d_s	k	seed_j	epoch	val_acc	val_prec	val_recall	val_f1	train_loss	val_loss	val_ov
1500	20	0	0	7	0	0.5	0.5	1.0	0.6666666666666666	0.6933636665344238	0.7262258529663086	0.6333333333333333
1500	20	0	0	7	3	0.5714285714285714	1.0	0.14285714285714285	0.25	0.6882631778717041	0.6875670552253723	0.6357142857142858
1500	20	0	0	777	5	0.6071428571428571	0.5789473684210527	0.7857142857142857	0.6666666666666667	0.6849434971809387	0.691283106803894	0.6406641604010026
1500	20	0	0	777	8	0.6428571428571429	0.6	0.8571428571428571	0.7058823529411764	0.6655048727989197	0.6812800168991089	0.676890756302521
1500	20	0	1	777	4	0.6428571428571429	1.0	0.2857142857142857	0.4444444444444445	0.680253803730011	0.6889340281486511	0.7103174603174603
1500	20	0	6	777	11	0.7037037037037037	0.75	0.6428571428571429	0.6923076923076924	0.5380033254623413	0.7335071563720703	0.7124033374033375
1500	20	0	7	7	10	0.6666666666666666	1.0	0.3076923076923077	0.47058823529411764	0.5702717304229736	0.934116780757904	0.7223227752639517
1500	20	1	2	7	5	0.6785714285714286	1.0	0.35714285714285715	0.5263157894736842	0.672569215297699	0.6700624227523804	0.7445488721804511
1500	20	1	8	144000	10	0.8148148148148148	0.7857142857142857	0.8461538461538461	0.8148148148148148	0.6283780336380005	0.9803434014320374	0.8065323565323566
1500	20	4	2	7	4	0.7857142857142857	0.9	0.6428571428571429	0.75	0.6509843468666077	0.5861981511116028	0.8071428571428572
1500	40	1	2	777	10	0.75	1.0	0.5	0.6666666666666666	0.6215260624885559	0.6138533353805542	0.8083333333333332
1500	40	2	6	144000	11	0.8518518518518519	0.8571428571428571	0.8571428571428571	0.8571428571428571	0.5887178182601929	0.637770414352417	0.8566137566137566
1500	40	4	2	144000	7	0.8571428571428571	0.9166666666666666	0.7857142857142857	0.8461538461538461	0.6141386032104492	0.5459774732589722	0.8704212454212454
3000	30	1	2	144000	17	0.8571428571428571	1.0	0.7142857142857143	0.8333333333333333	0.1757083386182785	0.5114999413490295	0.8952380952380953
5000	40	4	2	144000	18	0.8928571428571429	0.9230769230769231	0.8571428571428571	0.888888888888889	0.3297860324382782	0.5052160024642944	0.9000305250305252
