t_w	t_dim	d_s	k	seed_j	epoch	acc	delta	prec	rec	f1	ov	ov_delta	p_val	p_ov_val
1500	20	0	7	7	10	0.6667	0	1.0000	0.3077	0.4706	0.7223	0	0.0	0.0
1500	20	1	8	144000	14	0.8148	0.1481	0.7857	0.8462	0.8148	0.8065	0.0842	0.9999983735930161	0.9999999999837219
1500	20	2	3	777	14	0.6786	0.0119	1.0000	0.3571	0.5263	0.7445	0.0222	0.7516941673439438	0.03858444226085962
1500	20	3	7	144000	4	0.7037	0.0370	1.0000	0.3846	0.5556	0.7584	0.0361	0.1707532503817681	3.952008175333307e-05
1500	20	4	2	7	4	0.7857	0.1190	0.9000	0.6429	0.7500	0.8071	0.0848	0.0001320961433554773	4.309359374958363e-19
1500	30	0	2	7	6	0.7857	0	0.7500	0.8571	0.8000	0.7850	0	0.0	0.0
1500	30	1	5	7	2	0.7037	-0.0820	0.6500	0.9286	0.7647	0.7340	-0.0510	0.9999999149375783	0.999999968143794
1500	30	2	8	144000	11	0.7407	-0.0450	0.8000	0.6154	0.6957	0.7363	-0.0487	0.4952768276954449	0.5175337364346263
1500	30	3	6	777	19	0.7778	-0.0079	0.7500	0.8571	0.8000	0.7842	-0.0008	0.2987128810461496	0.4949488631135547
1500	30	4	2	777	11	0.7500	-0.0357	0.8889	0.5714	0.6957	0.7729	-0.0121	1.0070425895902914e-05	0.00011355959522544015
1500	40	0	6	7	14	0.7407	0	0.8182	0.6429	0.7200	0.7557	0	0.0	0.0
1500	40	1	2	777	10	0.7500	0.0093	1.0000	0.5000	0.6667	0.8083	0.0526	0.9374627937452411	0.9999999987422044
1500	40	2	6	144000	11	0.8519	0.1111	0.8571	0.8571	0.8571	0.8566	0.1009	0.06748827157747525	0.9849537187438939
1500	40	3	6	144000	9	0.8148	0.0741	0.7647	0.9286	0.8387	0.8173	0.0616	0.06322139086764683	0.06146701694209157
1500	40	4	2	144000	7	0.8571	0.1164	0.9167	0.7857	0.8462	0.8704	0.1147	6.745582655891705e-05	0.44585782176158245
1500	50	0	2	7	7	0.7500	0	1.0000	0.5000	0.6667	0.8083	0	0.0	0.0
1500	50	1	7	777	13	0.7037	-0.0463	1.0000	0.3846	0.5556	0.7584	-0.0499	0.8990284847111175	0.8432803507835193
1500	50	2	8	144000	11	0.7037	-0.0463	0.8571	0.4615	0.6000	0.7112	-0.0971	0.9993845822766578	0.9999999999999993
1500	50	3	6	777	15	0.7407	-0.0093	0.6667	1.0000	0.8000	0.7674	-0.0409	0.9992645569777207	0.9999999999999822
1500	50	4	8	777	13	0.7037	-0.0463	1.0000	0.3846	0.5556	0.7584	-0.0499	7.343036700668741e-09	0.3145443171454374
2000	20	0	7	144000	3	0.7407	0	0.8750	0.5385	0.6667	0.7526	0	0.0	0.0
2000	20	1	0	777	5	0.7857	0.0450	0.9000	0.6429	0.7500	0.8071	0.0545	0.07457352560359987	0.9070635106059752
2000	20	2	2	777	6	0.7857	0.0450	0.7857	0.7857	0.7857	0.7857	0.0331	0.014421473143916085	0.06144145658494684
2000	20	3	7	144000	15	0.7778	0.0370	0.8889	0.6154	0.7273	0.7908	0.0382	0.0008422248811740285	0.0003925410538141818
2000	20	4	2	777	7	0.7857	0.0450	0.9000	0.6429	0.7500	0.8071	0.0545	0.0015303729237265227	6.729859593519871e-10
2000	30	0	7	144000	6	0.7778	0	1.0000	0.5385	0.7000	0.8255	0	0.0	0.0
2000	30	1	7	144000	3	0.7407	-0.0370	1.0000	0.4615	0.6316	0.7927	-0.0328	0.9985377443912122	0.9999999940412624
2000	30	2	7	144000	4	0.7778	0.0000	0.8182	0.6923	0.7500	0.7753	-0.0501	0.9998673774528177	0.9999997499539663
2000	30	3	2	144000	10	0.7857	0.0079	0.7500	0.8571	0.8000	0.7850	-0.0405	0.9968362352772361	0.999766730211529
2000	30	4	2	777	9	0.8214	0.0437	0.8462	0.7857	0.8148	0.8253	-0.0001	0.07984364733498561	0.010567191829864795
2000	40	0	2	7	4	0.7500	0	0.6842	0.9286	0.7879	0.7604	0	0.0	0.0
2000	40	1	2	144000	15	0.7500	0.0000	0.7692	0.7143	0.7407	0.7506	-0.0098	0.00011694684871124384	0.002683359430874953
