t_w	t_dim	d_s	k	seed_j	epoch	acc	delta	prec	rec	f1	ov	ov_delta	p_val	p_ov_val
1500	20	0	7	7	10	0.6667	0	1.0000	0.3077	0.4706	0.7223	0	0.0	0.0
1500	20	1	8	144000	10	0.7778	0.1111	0.7333	0.8462	0.7857	0.7708	0.0485	0.9998904106837262	0.9999999987664843
1500	20	2	6	144000	18	0.7407	0.0741	0.7333	0.7857	0.7586	0.7496	0.0273	0.9750139170154543	0.3854373021995616
1500	20	3	2	144000	5	0.8214	0.1548	0.8462	0.7857	0.8148	0.8253	0.1030	0.8465347218269115	0.0010520883067207498
1500	20	4	2	144000	10	0.8214	0.1548	0.8462	0.7857	0.8148	0.8253	0.1030	6.711008648857422e-05	4.322549334840078e-17
1500	30	0	2	7	6	0.7857	0	0.7500	0.8571	0.8000	0.7850	0	0.0	0.0
1500	30	1	7	144000	4	0.6667	-0.1190	1.0000	0.3077	0.4706	0.7223	-0.0627	0.9999999270463011	0.9999999997206012
1500	30	2	6	144000	14	0.6667	-0.1190	0.6087	1.0000	0.7568	0.7224	-0.0626	0.0023506938856161954	0.014460613452249351
1500	30	3	6	7	10	0.7778	-0.0079	0.8333	0.7143	0.7692	0.7911	0.0061	0.37938328391495646	0.19432249679920974
1500	30	4	8	7	15	0.8148	0.0291	0.8333	0.7692	0.8000	0.8120	0.0270	0.00022747551621921607	0.0050024618132955825
1500	40	0	6	7	14	0.7407	0	0.8182	0.6429	0.7200	0.7557	0	0.0	0.0
1500	40	1	2	777	9	0.7857	0.0450	0.9000	0.6429	0.7500	0.8071	0.0514	0.9099224160373183	0.9999999254341645
1500	40	2	6	144000	11	0.8148	0.0741	0.8462	0.7857	0.8148	0.8247	0.0689	3.681440605469347e-08	0.4148177424254599
1500	40	3	9	144000	4	0.7037	-0.0370	1.0000	0.3846	0.5556	0.7584	0.0027	0.00012562528231058027	0.00017846546537034276
1500	40	4	2	144000	7	0.8571	0.1164	0.8571	0.8571	0.8571	0.8571	0.1014	6.45291911072585e-08	0.11797207899502422
1500	50	0	2	7	7	0.7500	0	1.0000	0.5000	0.6667	0.8083	0	0.0	0.0
1500	50	1	8	144000	9	0.7407	-0.0093	0.8750	0.5385	0.6667	0.7526	-0.0557	0.9900252495996583	0.9987596402534764
1500	50	2	6	777	14	0.7407	-0.0093	0.8889	0.5714	0.6957	0.7719	-0.0364	0.9787688321645002	0.9999999999201357
1500	50	3	0	777	16	0.7143	-0.0357	0.8750	0.5000	0.6364	0.7362	-0.0721	0.9998689320640767	0.9999999999997131
1500	50	4	8	777	18	0.8148	0.0648	0.8333	0.7692	0.8000	0.8120	0.0037	2.46496741392076e-05	0.3189849607415637
2000	20	0	7	144000	3	0.7407	0	0.8750	0.5385	0.6667	0.7526	0	0.0	0.0
2000	20	1	2	777	7	0.7857	0.0450	0.9000	0.6429	0.7500	0.8071	0.0545	0.21098360109465208	0.9395969502232663
2000	20	2	2	144000	11	0.7500	0.0093	0.7059	0.8571	0.7742	0.7542	0.0016	0.14534636618058175	0.45411559372840615
2000	20	3	7	144000	3	0.7778	0.0370	0.8889	0.6154	0.7273	0.7908	0.0382	0.0031647445151440326	0.00015133553300018864
2000	20	4	2	144000	4	0.7857	0.0450	0.9000	0.6429	0.7500	0.8071	0.0545	7.311567029316059e-06	5.856779680902542e-13
2000	30	0	7	144000	6	0.7778	0	1.0000	0.5385	0.7000	0.8255	0	0.0	0.0
2000	30	1	7	144000	3	0.6667	-0.1111	1.0000	0.3077	0.4706	0.7223	-0.1031	0.9918674047472179	0.9998609075634467
2000	30	2	2	7	14	0.7500	-0.0278	1.0000	0.5000	0.6667	0.8083	-0.0171	0.7445951683943094	0.9987719217071267
2000	30	3	0	7	12	0.7500	-0.0278	0.7333	0.7857	0.7586	0.7505	-0.0749	0.9999995390334435	0.9999931859877861
2000	30	4	2	777	9	0.7857	0.0079	0.8333	0.7143	0.7692	0.7919	-0.0335	0.1333551427615235	0.06517773175829533
2000	40	0	2	7	4	0.7500	0	0.6842	0.9286	0.7879	0.7604	0	0.0	0.0
2000	40	1	2	7	10	0.7143	-0.0357	0.6364	1.0000	0.7778	0.7452	-0.0152	0.0018770342413952843	0.004294603627957156
